date, amount
May-92,16.1
Jun-92,16.2
Jul-92,16.5
Aug-92,16.6
Sep-92,16.7
Oct-92,16.8
Nov-92,17.1
Dec-92,17.3
Jan-93,17.6
Feb-93,18.0
Mar-93,18.1
Apr-93,18.1
May-93,18.0
Jun-93,18.0
Jul-93,17.9
Aug-93,17.9
Sep-93,17.6
Oct-93,17.6
Nov-93,17.6
Dec-93,17.9
Jan-94,17.8
Feb-94,17.2
Mar-94,17.0
Apr-94,16.8
May-94,16.9
Jun-94,16.9
Jul-94,16.9
Aug-94,17.1
Sep-94,16.9
Oct-94,16.8
Nov-94,16.2
Dec-94,16.1
Jan-95,16.1
Feb-95,16.2
Mar-95,16.2
Apr-95,16.1
May-95,16.1
Jun-95,15.9
Jul-95,15.8
Aug-95,15.6
Sep-95,15.5
Oct-95,15.5
Nov-95,15.5
Dec-95,15.1
Jan-96,15.2
Feb-96,15.2
Mar-96,15.3
Apr-96,15.6
May-96,15.5
Jun-96,15.4
Jul-96,15.3
Aug-96,15.1
Sep-96,15.4
Oct-96,15.7
Nov-96,15.6
Dec-96,15.4
Jan-97,15.1
Feb-97,14.8
Mar-97,14.6
Apr-97,14.2
May-97,14.3
Jun-97,14.5
Jul-97,14.9
Aug-97,14.7
Sep-97,14.0
Oct-97,13.7
Nov-97,13.2
Dec-97,13.4
Jan-98,13.4
Feb-98,13.5
Mar-98,13.4
Apr-98,13.4
May-98,13.3
Jun-98,13.5
Jul-98,13.5
Aug-98,13.8
Sep-98,13.5
Oct-98,13.4
Nov-98,13.6
Dec-98,13.6
Jan-99,13.8
Feb-99,13.7
Mar-99,13.4
Apr-99,13.2
May-99,13.2
Jun-99,13.2
Jul-99,13.0
Aug-99,12.9
Sep-99,12.6
Oct-99,12.5
Nov-99,12.4
Dec-99,12.5
Jan-00,12.6
Feb-00,12.7
Mar-00,12.9
Apr-00,12.9
May-00,12.8
Jun-00,12.3
Jul-00,11.9
Aug-00,11.9
Sep-00,12.1
Oct-00,12.5
Nov-00,12.4
Dec-00,12.3
Jan-01,12.0
Feb-01,12.3
Mar-01,12.0
Apr-01,11.8
May-01,11.6
Jun-01,11.7
Jul-01,11.7
Aug-01,11.9
Sep-01,11.9
Oct-01,12.1
Nov-01,12.2
Dec-01,12.4
Jan-02,12.2
Feb-02,12.1
Mar-02,12.3
Apr-02,12.1
May-02,12.1
Jun-02,11.9
Jul-02,12.1
Aug-02,12.2
Sep-02,12.2
Oct-02,12.0
Nov-02,12.3
Dec-02,12.3
Jan-03,12.1
Feb-03,12.5
Mar-03,12.8
Apr-03,12.7
May-03,12.5
Jun-03,12.4
Jul-03,12.7
Aug-03,12.7
Sep-03,12.4
Oct-03,12.1
Nov-03,11.8
Dec-03,11.8
Jan-04,11.8
Feb-04,11.9
Mar-04,12.1
Apr-04,12.2
May-04,11.9
Jun-04,12.1
Jul-04,12.2
Aug-04,12.2
Sep-04,12.4
Oct-04,12.2
Nov-04,12.3
Dec-04,12.5
Jan-05,12.5
Feb-05,12.7
Mar-05,12.3
Apr-05,12.4
May-05,12.7
Jun-05,12.8
Jul-05,12.5
Aug-05,12.6
Sep-05,12.7
Oct-05,13.6
Nov-05,13.6
Dec-05,13.9
Jan-06,13.6
Feb-06,13.7
Mar-06,13.6
Apr-06,13.9
May-06,14.1
Jun-06,14.3
Jul-06,14.5
Aug-06,14.1
Sep-06,14.3
Oct-06,14.1
Nov-06,13.8
Dec-06,14.1
Jan-07,14.3
Feb-07,14.5
Mar-07,14.5
Apr-07,14.6
May-07,14.7
Jun-07,14.7
Jul-07,14.6
Aug-07,14.6
Sep-07,14.5
Oct-07,14.2
Nov-07,14.0
Dec-07,13.9
Jan-08,13.8
Feb-08,13.8
Mar-08,14.0
Apr-08,14.3
May-08,14.0
Jun-08,14.6
Jul-08,14.8
Aug-08,15.3
Sep-08,15.5
Oct-08,15.9
Nov-08,16.3
Dec-08,16.5
Jan-09,16.8
Feb-09,16.9
Mar-09,18.1
Apr-09,18.6
May-09,19.4
Jun-09,19.4
Jul-09,19.9
Aug-09,19.9
Sep-09,20.0
Oct-09,20.1
Nov-09,19.6
Dec-09,19.5
Jan-10,19.6
Feb-10,19.9
Mar-10,20.3
Apr-10,20.2
May-10,20.1
Jun-10,19.9
Jul-10,19.6
Aug-10,19.8
Sep-10,19.3
Oct-10,20.2
Nov-10,20.5
Dec-10,20.6
Jan-11,20.6
Feb-11,20.5
Mar-11,20.3
Apr-11,19.7
May-11,20.1
Jun-11,20.6
Jul-11,21.3
Aug-11,21.9
Sep-11,22.3
Oct-11,22.5
Nov-11,22.5
Dec-11,22.2
Jan-12,22.3
Feb-12,22.1
Mar-12,22.0
Apr-12,21.9
May-12,22.0
Jun-12,21.6
Jul-12,21.6
Aug-12,20.8
Sep-12,21.0
Oct-12,20.5
Nov-12,20.8
Dec-12,21.0
Jan-13,21.4
Feb-13,21.2
Mar-13,20.8
Apr-13,20.6
May-13,20.9
Jun-13,21.4
Jul-13,21.2
Aug-13,21.3
Sep-13,21.1
Oct-13,20.6
Nov-13,20.2
Dec-13,20.1
Jan-14,19.9
Feb-14,19.2
Mar-14,18.9
Apr-14,18.3
May-14,17.7
Jun-14,16.7
Jul-14,16.5
Aug-14,16.0
Sep-14,16.3
Oct-14,16.6
Nov-14,17.0
Dec-14,16.4
Jan-15,16.3
Feb-15,16.1
Mar-15,15.9
Apr-15,16.0
May-15,15.7
Jun-15,15.8
Jul-15,15.4
Aug-15,14.6
Sep-15,14.1
Oct-15,13.6
Nov-15,13.7
Dec-15,13.7
Jan-16,13.8
Feb-16,13.8
Mar-16,13.7
Apr-16,13.6
May-16,13.5
Jun-16,13.6
Jul-16,13.6
Aug-16,13.7
Sep-16,13.1
Oct-16,13.0
Nov-16,12.6
Dec-16,12.6
Jan-17,12.3
Feb-17,12.5
Mar-17,12.5
Apr-17,12.5
May-17,12.5
Jun-17,12.2
Jul-17,11.9
Aug-17,11.9
Sep-17,11.9
Oct-17,12.0
Nov-17,12.2
Dec-17,12.5
Jan-18,12.3
Feb-18,12.0
Mar-18,12.1
Apr-18,11.9
May-18,12.0
Jun-18,11.3
